"blind_id","product_title","main_category","categories_evidence","features_evidence","description_evidence","details_evidence","source_domains","reviewer_1_device_type","reviewer_1_label","reviewer_1_confidence","reviewer_1_notes","reviewer_2_device_type","reviewer_2_label","reviewer_2_confidence","reviewer_2_notes","adjudicated_device_type","adjudicated_label","adjudication_notes"
"W3RB-011","SHARPER IMAGE SBT5007WH Switcher Bluetooth Wireless Smart Speaker Bulb","All Electronics","[""Electronics"",""Portable Audio & Video"",""MP3 & MP4 Player Accessories""]","[""The LED bulb may appear to be a regular lightbulb, but Switcher by Sharper Image is anything but ordinary."",""Switcher is a responsive light, a speaker, a timer, and an app-controlled bulb, contained in one easy-to-use package."",""Use the app to access your playlist and set Switcher to change the light color and tempo."",""Download the accompanying Switcher app to control the light intensities and color schemes from your smartphone or other device."",""Customizing lighting for nearly every situation from large parties to intimate dinners. Set a timer from the Switcher app to lights turn on and off automatically.""]","[""The LED bulb may appear to be a regular lightbulb, but Switcher by Sharper Image is anything but ordinary. Switcher is a responsive light, a speaker, a timer, and an app-controlled bulb, contained in one easy-to-use package. Use the app to access your playlist and set Switcher to change the light color and tempo. Download the accompanying Switcher app to control the light intensities and color schemes from your smartphone or other device. Customizing lighting for nearly every situation from large parties to intimate dinners. Set a timer from the Switcher app to lights turn on and off automatically.""]","{""Best Sellers Rank"":{""MP3 & MP4 Player Accessories"":52585},""Brand"":""Sharper Image"",""Connectivity Protocol"":""Bluetooth"",""Connectivity Technology"":""Wireless, Bluetooth"",""Controller Type"":""App Control"",""Date First Available"":""September 19, 2016"",""Included Components"":""LED Bulb speaker, User manual"",""Is Discontinued By Manufacturer"":""No"",""Item Weight"":""8 ounces"",""Item model number"":""SBT5007WH"",""Light Type"":""LED"",""Manufacturer"":""Southern Telecom"",""Number of Items"":""1"",""Power Source"":""Corded Electric"",""Product Dimensions"":""3 x 3 x 3 inches"",""Shape"":""Arbitrary"",""Wattage"":""7 watts""}","Electronics","","","","","","","","","","",""
"W3RB-012","PLAYBULB Color Bluetooth Smart LED Light Bulb with built in Speaker for iPhone and Android","Tools & Home Improvement","[""Electronics"",""Portable Audio & Video"",""Portable Speakers & Docks"",""Portable Bluetooth Speakers""]","[""Instant connection to your Smartphone via Bluetooth"",""Built in Bluetooth speaker - stream music from your smartphone or tablet"",""Chose from Millions of colors and shades of white light or use special effects and program on / off times"",""Free PLAYBULB X App for IOS & Android - control single, multiple bulbs or create groups"",""Fits any E26 / E27 (standard) light socket""]","[""PLAYBULB Color is so much more than an energy-efficient light bulb. Now you can let color and music fill up your living space. Playbulb lights up a room in any combo of colors and includes a fully functional wireless speaker that you pair via Bluetooth. You can change its color and sound using our free app - iOS and Android compatible. We created PLAYBULB color so you can express your emotions through mood lighting and music. Using the PLAYBULB X free App, you will be able to choose from millions of colors and apply special effects. You can group multiple Playbulbs together in one room. You can also program on and off settings through the app. Fits any E26 / E27 (standard) light socket.""]","{""Batteries Included?"":""No"",""Batteries Required?"":""No"",""Color"":""5.4"",""Date First Available"":""April 17, 2015"",""Is Discontinued By Manufacturer"":""No"",""Item Package Quantity"":""1"",""Item Weight"":""12.8 ounces"",""Item model number"":""BTL100C"",""Luminous Flux"":""215"",""Manufacturer"":""Mipow"",""Part Number"":""BTL100C"",""Product Dimensions"":""3.1 x 3.1 x 5.4 inches"",""Shape"":""A21"",""Special Features"":""Energy Efficient"",""Type of Bulb"":""LED"",""Usage"":""Indoor use only"",""Voltage"":""100 Volts"",""Warranty Description"":""1 year limited."",""Wattage"":""3""}","Electronics","","","","","","","","","","",""
"W3RB-013","GoControl Z-Wave Dimmable LED Light Bulb, LB60Z-1","Camera & Photo","[""Electronics"",""Amazon Cloud Drive T&C Offer""]","[""60 Watt Equivalent LED Dimming Light Bulb with Z-Wave"",""Compatible with any certified Z-Wave based system such as Nexia Home Intelligence"",""Instant on and fully dimmable"",""22.8 year life at 3 hrs per day average use"",""60W equivalent, 9 Watt usage. 2700k pleasant soft white""]","[""The LB60Z-1 is a Z-Wave controllable and fully-dimmable, instant-on LED screw-in light bulb that provides pleasant soft-white illumination equivalent to a 60-watt incandescent bulb, yet uses only 9 watts of energy. The LB60Z offer great value and convenience with an estimated 22+ year life (3 hrs/day avg), and remote control through a compatible Z-Wave controller.""]","{""Date First Available"":""November 13, 2014"",""Is Discontinued By Manufacturer"":""No"",""Item Weight"":""5.6 ounces"",""Item model number"":""LB60Z-1"",""Manufacturer"":""Nexia Home Intelligence"",""Product Dimensions"":""3 x 4.9 x 3 inches""}","Electronics","","","","","","","","","","",""
"W3RB-014","PLAYBULB BTL100 Bluetooth Dimmable LED Light Bulb with Wireless Speaker, White","Cell Phones & Accessories","[""Electronics"",""Portable Audio & Video"",""MP3 & MP4 Player Accessories""]","[""LED Bluetooth speaker light"",""4.0 and Bluetooth Smart"",""Remotely controlled via the MiPow App"",""Fits into most light fixtures. It has an E27 screw base and operates just like a normal light."",""Compatible with most Bluetooth enabled devices.""]","[""MIPOW PLAYBULB is a fresh new Bluetooth Smart LED speaker light, allowing you to combine your light with music and control, both from your mobile device. Compatible with most Bluetooth wireless enabled devices. For music playback, most devices with Bluetooth wireless capability and A2DP. The advanced acoustic technology delivers a clear and big sound. Controlling the PLAYBULB from the MiPow App, available for download from the App store and Google play, allows you can change the light brightness and music operation. Apps Supported Devices are as follows: Apple iPhone 4S, iPhone 5, iPhone 5C, iPhone 5S, iPod (5th generation), iPad (4th generation), iPad Air, iPad mini, Android Devices with Android 4.3 or above and with Bluetooth 4.0""]","{""Brand"":""MIPOW"",""Color"":""White"",""Connectivity Technology"":""Bluetooth"",""Connectivity technologies"":""Bluetooth"",""Controller Type"":""App Control"",""Date First Available"":""April 1, 2014"",""Is Discontinued By Manufacturer"":""No"",""Item Weight"":""7 ounces"",""Item model number"":""BTL100-WT-WW"",""Manufacturer"":""GadgetCenter"",""Other display features"":""Wireless"",""Product Dimensions"":""7.09 x 6.42 x 2.56 inches"",""Recommended Uses For Product"":""Music"",""Speakers Maximum Output Power"":""3 Watts"",""Surround Sound Channel Configuration"":""4"",""Weight"":""0.2 Kilograms""}","Electronics","","","","","","","","","","",""
"W3RB-015","MiPow BTL100-SR-WW PLAYBULB Bluetooth Wireless Smart LED Speaker Light Bulb","Home Audio & Theater","[""Electronics"",""Portable Audio & Video"",""MP3 & MP4 Player Accessories""]","[""Fits E26 light bulb socket"",""Built-in Bluetooth speaker"",""Advanced mobile apps control""]","[""PlayBulb is a fresh new BluetoothÂ® Smart LED speaker light allowing you to combine your light with music and control via app from your mobile device. BluetoothÂ® Smart enabled wireless light and speaker is ideal for student dorms, apartments or around the house. Own it, live your life with fewer limits.""]","{""Best Sellers Rank"":{""MP3 & MP4 Player Accessories"":52790},""Brand"":""PLAYBULB"",""Bulb Base"":""E26"",""Color Rendering Index"":""100"",""Connectivity Protocol"":""Bluetooth"",""Controller Type"":""Vera"",""Date First Available"":""April 3, 2014"",""Incandescent Equivalent Wattage"":""40 Watts"",""Is Discontinued By Manufacturer"":""No"",""Item Weight"":""6.1 ounces"",""Item model number"":""BTL100-SR-WW"",""Light Type"":""LED"",""Manufacturer"":""Wintec"",""Number of Items"":""1"",""Product Dimensions"":""3.15 x 3.15 x 5.43 inches"",""Shape"":""Arbitrary"",""Unit Count"":""1.0 Count"",""Wattage"":""5 watts""}","Electronics","","","","","","","","","","",""
"W3RB-016","Sengled Boost, Dimmable LED Bulb with Integrated Wi-Fi Repeater","Cell Phones & Accessories","[""Electronics"",""Computers & Accessories"",""Networking Products"",""Repeaters""]","[""Install like any other light bulb. Easy to setup and enjoy the extended Wi Fi signal coverage evenly"",""Supports two Wi Fi network mode: Client / Access Point (AP)"",""Two build in antennas for high throughput data exchange rate of maximum 300Mbps"",""Compatible with most smart phones, tablets and computers that support Wi Fi IEEE 802.11b/g/n standard at 2.4GHz. Download the free Boost Android or iOS App to explore even greater functionality"",""Remote LED lights ON/OFF and dimming control individually or by group""]","[""Boost gives you Wi-Fi where you want it, combined with high-efficiency, dimmable LED light. End Internet dead zones for good, as each bulb you connect increases the range of your Wi-Fi. Enjoy your shows, movies and music from almost anywhere in your home - along with an iOS/Android app for Wi-Fi setup and lighting control to keep your spaces bright. . Boost connects to your home router/gateway . Range is over 100 feet with near line-of-sight . Also available in A19, BR30, and PAR38 bulb types""]","{""Color"":""White"",""Date First Available"":""March 24, 2015"",""Item Weight"":""1 pounds"",""Item model number"":""A01-PAR38NAE26W"",""Manufacturer"":""Sengled"",""Other display features"":""Wireless"",""Product Dimensions"":""5.27 x 4.77 x 4.77 inches""}","Electronics","","","","","","","","","","",""
"W3RB-017","Sengled Boost, Dimmable LED Bulb with Integrated Wi-Fi Repeater","Cell Phones & Accessories","[""Electronics"",""Computers & Accessories"",""Networking Products"",""Repeaters""]","[""Install like any other light bulb. Easy to setup and enjoy the extended Wi Fi signal coverage evenly"",""Supports two Wi Fi network mode: Client / Access Point (AP)"",""Two build in antennas for high throughput data exchange rate of maximum 300 Mbps"",""Compatible with most smart phones, tablets and computers that support Wi Fi IEEE 802.11b/g/n standard at 2.4 GigaHertz Download the free Boost Android or iOS App to explore even greater functionality"",""Remote LED lights ON/OFF and dimming control individually or by group""]","[""Boost gives you Wi Fi where you want it, combined with high efficiency, dimmable LED light. End Internet dead zones for good, as each bulb you connect increases the range of your Wi Fi. Enjoy your shows, movies and music from almost anywhere in your home along with an iOS/Android app for Wi Fi setup and lighting control to keep your spaces bright. . Boost connects to your home router/gateway . Range is over 100 feet with near line of sight . Also available in A19, BR30, and PAR38 bulb types""]","{""Brand"":""Sengled"",""Bulb Shape Size"":""A19"",""Color"":""White"",""Controller Type"":""Remote control"",""Date First Available"":""March 24, 2015"",""Item Weight"":""12 ounces"",""Item model number"":""A01-A60NAE26W"",""Light Type"":""LED"",""Manufacturer"":""Sengled"",""Number of Items"":""1"",""Other display features"":""Wireless"",""Product Dimensions"":""4.65 x 2.36 x 2.36 inches"",""Special Feature"":""Dimmable"",""Special features"":""Dimmable"",""Style"":""A60""}","Electronics","","","","","","","","","","",""
"W3RB-018","Top Race Fun Disco Smart LED BLUETOOTH LIGHT BULB 6W (60 Watt Replacement) - Works with ALL Smartphones; Apple iPhone, iPad, Android Phones And Tablets","Home Audio & Theater","","","","{""Brand"":""Kraiovim"",""Date First Available"":""March 19, 2017"",""Incandescent Equivalent Wattage"":""60 Watts"",""Item Weight"":""0.353 ounces"",""Package Dimensions"":""5.9 x 2.6 x 2.4 inches"",""Wattage"":""6 watts""}","Electronics","","","","","","","","","","",""
"W3RB-019","Sengled Boost, Dimmable LED Bulb with Integrated Wi-Fi Repeater","Cell Phones & Accessories","[""Electronics"",""Computers & Accessories"",""Networking Products"",""Repeaters""]","[""Install like any other light bulb; Easy to setup and enjoy the extended Wi Fi signal coverage evenly"",""Supports two Wi Fi network mode: Client / Access Point (AP)"",""Two build in antennas for high throughput data exchange rate of maximum 300Mbps"",""Compatible with most smart phones, tablets and computers that support Wi Fi IEEE 802.11b/g/n standard at 2.4GHz; Download the free Boost Android or iOS App to explore even greater functionality"",""Remote LED lights ON/OFF and dimming control individually or by group""]","[""Boost gives you Wi-Fi where you want it, combined with high-efficiency, dimmable LED light. End Internet dead zones for good, as each bulb you connect increases the range of your Wi-Fi. Enjoy your shows, movies and music from almost anywhere in your home - along with an iOS/Android app for Wi-Fi setup and lighting control to keep your spaces bright. . Boost connects to your home router/gateway . Range is over 100 feet with near line-of-sight . Also available in A19, BR30, and PAR38 bulb types""]","{""Color"":""White"",""Date First Available"":""March 24, 2015"",""Item Weight"":""1 pounds"",""Item model number"":""A01-BR30NAE26W"",""Manufacturer"":""Sengled"",""Other display features"":""Wireless"",""Product Dimensions"":""5.32 x 3.74 x 3.74 inches""}","Electronics","","","","","","","","","","",""
"W3RB-020","ION Audio Sound Shine | Dimmable Light Bulb & Wireless Speaker with Bluetooth & App Control (Single)","Home Audio & Theater","","[""Streams Music Wirelessly From Bluetooth-enabled Smartphone, Tablet, Music Player Or Computer"",""Speakers Link Wirelessly For Stereo Sound no Wires Required"",""Full-range High-excursion Speakers Deliver Rich, Room-filling Sound"",""Led Lights Provide Pleasing White Illumination Equivalent To A 60w Light Bulb"",""Compatible With Android, IPhone, IPad, Kindle Fire Hd & More""]","[""Sound Shine speakers are the simple way to bring music and light to any room in your house, and installation is as simple as screwing in a light bulb. Featuring integrated Bluetooth technology, Sound Shine speakers let you stream music wirelessly from any Bluetooth-enabled device. The built-in speakers can be used independently as standalone speakers, playing the whole stereo signal. They can also be linked together wirelessly to provide rich, full-range stereo sound, where one speaker plays the Left channel and the other speaker plays the Right channel. Either way, they'll fill any room with your favorite sounds. Sound Shine speakers are ideal for any application that uses standard light bulb threads. They provide warm, white illumination equivalent to a 60-watt light bulb. Plus, the lights are dimmable with the downloadable ION app. Sound Shine simply screws into a standard light bulb socket no batteries, no rewiring, no hassle! The name says it all great Sound that Shines brightly!""]","{""Date First Available"":""October 27, 2015"",""Is Discontinued By Manufacturer"":""No"",""Item Weight"":""1.15 Pounds"",""Item model number"":""ISP38"",""Manufacturer"":""Ion Electronics Inc"",""Number Of Items"":""1"",""Product Dimensions"":""6.4 x 5.1 x 5 inches"",""Speakers Maximum Output Power"":""60 Watts""}","Electronics","","","","","","","","","","",""
"W3RB-021","TP-Link LB130(E27) v1. 0, Smart Wi-Fi LED Bulb with Color Changing Hue","Camera & Photo","","","[""smart wi-fi led bulb with color changing hue.""]","{""Brand"":""TP-Link"",""Bulb Base"":""E27"",""Connectivity Protocol"":""wi-fi"",""Connectivity Technology"":""Wi-Fi"",""Controller Type"":""Vera"",""Date First Available"":""October 3, 2017"",""Frequency"":""60 Hz"",""Incandescent Equivalent Wattage"":""60 Watts"",""Is Discontinued By Manufacturer"":""No"",""Item Weight"":""6.3 ounces"",""Item model number"":""LB130"",""Light Type"":""LED"",""Manufacturer"":""TP-Link"",""Number of Items"":""1"",""Product Dimensions"":""2.56 x 2.56 x 5.28 inches"",""Special Feature"":""Color Changing"",""Unit Count"":""1.0 Count"",""Voltage"":""240 Volts"",""Wattage"":""11 watts""}","Electronics","","","","","","","","","","",""
"W3RB-022","Made for Amazon BLE Smart Switch, Gen3 Compatible with Echo v4, Echo Dot v3&v4, Echo Flex, Echo Input, Echo Show 5 & 8, and Echo Studio.","Amazon Devices","[""Amazon Devices & Accessories"",""Amazon Device Accessories""]","[""[EASY INSTALLATION] No wiring required. Snaps on top of an existing toggle or rocker light switch and mechanically controls the underlying switch."",""[ALEXA ENABLED] Turn your light on/off using voice commands or set to a schedule by creating Alexa routines."",""[WIDE RANGE OF USES] No neutral wire required. Works with any voltage (12v, 24v, 110v, 220v). Ideal solution for low-voltage switches like those used with gas fireplaces. Narrow enough to fit 2-gang switches."",""[IMPROVED DESIGN] Narrower and thinner than Gen2 switch with lower battery consumption."",""[WORKS WITH LATEST ECHO DEVICES] No hub required. Works with Echo v4, Echo Dot v3&v4, Echo Flex, Echo Input, Echo show 5&8, and Echo studio."",""Supports up to a maximum of three switches per Echo device."",""Included In Box: Switch, batteries, mounting hardware (spacers, screws, protective film).""]","[""The Third Reality Smart Switch Gen3 is a simple solution for automating your wall switches. It mechanically turns existing Toggle or Rocker switches on /off. Smart Switches can be placed next to each other in 2-gang, 3-gang or 4-gang switches. Pairing with an an Alexa Echo smart speaker is as simple as saying “Alexa, discover my device.” Customize your Smart Switch by renaming it and creating automated routines using the Alexa app.""]","{""Date First Available"":""December 31, 2020"",""Item model number"":""3RSS009B"",""Package Dimensions"":""6 x 2 x 1 inches; 3.99 Ounces""}","Electronics","","","","","","","","","","",""
"W3RB-023","GoControl Z-Wave Dimmable LED Light Bulb, LB60Z-1","Camera & Photo","[""Electronics"",""Amazon Cloud Drive T&C Offer""]","[""60 Watt Equivalent LED Dimming Light Bulb with Z-Wave"",""Compatible with any certified Z-Wave based system such as Nexia Home Intelligence"",""Instant on and fully dimmable"",""22.8 year life at 3 hrs per day average use"",""60W equivalent, 9 Watt usage. 2700k pleasant soft white""]","[""The LB60Z-1 is a Z-Wave controllable and fully-dimmable, instant-on LED screw-in light bulb that provides pleasant soft-white illumination equivalent to a 60-watt incandescent bulb, yet uses only 9 watts of energy. The LB60Z offer great value and convenience with an estimated 22+ year life (3 hrs/day avg), and remote control through a compatible Z-Wave controller.""]","{""Date First Available"":""November 13, 2014"",""Is Discontinued By Manufacturer"":""No"",""Item Weight"":""5.6 ounces"",""Item model number"":""LB60Z-1"",""Manufacturer"":""Nexia Home Intelligence"",""Product Dimensions"":""3 x 4.9 x 3 inches""}","Electronics","","","","","","","","","","",""
