blind_id,parent_asin,product_title,source_domains,reviewer_1_device_type,reviewer_1_label,reviewer_1_confidence,reviewer_2_device_type,reviewer_2_label,reviewer_2_confidence,adjudicated_device_type,adjudicated_label,adjudication_notes,final_device_type,final_label,final_decision,decision_basis,final_notes
W3RB-011,B01M0PAZA7,SHARPER IMAGE SBT5007WH Switcher Bluetooth Wireless Smart Speaker Bulb,Electronics,smart_bulb,correct_target,high,smart_bulb,correct_target,high,,,,smart_bulb,correct_target,include,reviewer_consensus,Two reviewers agreed; final decision uses their consensus.
W3RB-012,B00UMA45KY,PLAYBULB Color Bluetooth Smart LED Light Bulb with built in Speaker for iPhone and Android,Electronics,smart_bulb,correct_target,high,smart_bulb,correct_target,high,,,,smart_bulb,correct_target,include,reviewer_consensus,Two reviewers agreed; final decision uses their consensus.
W3RB-013,B00PJH16UC,"GoControl Z-Wave Dimmable LED Light Bulb, LB60Z-1",Electronics,smart_bulb,correct_target,high,smart_bulb,correct_target,high,,,,smart_bulb,correct_target,include,reviewer_consensus,Two reviewers agreed; final decision uses their consensus.
W3RB-014,B00KLPFJR8,"PLAYBULB BTL100 Bluetooth Dimmable LED Light Bulb with Wireless Speaker, White",Electronics,smart_bulb,correct_target,high,smart_bulb,correct_target,high,,,,smart_bulb,correct_target,include,reviewer_consensus,Two reviewers agreed; final decision uses their consensus.
W3RB-015,B00KLPFEXW,MiPow BTL100-SR-WW PLAYBULB Bluetooth Wireless Smart LED Speaker Light Bulb,Electronics,smart_bulb,correct_target,high,smart_bulb,correct_target,high,,,,smart_bulb,correct_target,include,reviewer_consensus,Two reviewers agreed; final decision uses their consensus.
W3RB-016,B00S036GN4,"Sengled Boost, Dimmable LED Bulb with Integrated Wi-Fi Repeater",Electronics,smart_bulb,correct_target,high,smart_bulb,correct_target,high,,,,smart_bulb,correct_target,include,reviewer_consensus,Two reviewers agreed; final decision uses their consensus.
W3RB-017,B00S036GUC,"Sengled Boost, Dimmable LED Bulb with Integrated Wi-Fi Repeater",Electronics,smart_bulb,correct_target,high,smart_bulb,correct_target,high,,,,smart_bulb,correct_target,include,reviewer_consensus,Two reviewers agreed; final decision uses their consensus.
W3RB-018,B00V9091EG,"Top Race Fun Disco Smart LED BLUETOOTH LIGHT BULB 6W (60 Watt Replacement) - Works with ALL Smartphones; Apple iPhone, iPad, Android Phones And Tablets",Electronics,smart_bulb,correct_target,medium,smart_bulb,correct_target,medium,,,,smart_bulb,correct_target,include,reviewer_consensus,Two reviewers agreed; final decision uses their consensus.
W3RB-019,B00S036GQQ,"Sengled Boost, Dimmable LED Bulb with Integrated Wi-Fi Repeater",Electronics,smart_bulb,correct_target,high,smart_bulb,correct_target,high,,,,smart_bulb,correct_target,include,reviewer_consensus,Two reviewers agreed; final decision uses their consensus.
W3RB-020,B00YRRVTPM,ION Audio Sound Shine | Dimmable Light Bulb & Wireless Speaker with Bluetooth & App Control (Single),Electronics,smart_bulb,correct_target,high,smart_bulb,correct_target,high,,,,smart_bulb,correct_target,include,reviewer_consensus,Two reviewers agreed; final decision uses their consensus.
W3RB-021,B01MS9L9K2,"TP-Link LB130(E27) v1. 0, Smart Wi-Fi LED Bulb with Color Changing Hue",Electronics,smart_bulb,correct_target,high,smart_bulb,correct_target,high,,,,smart_bulb,correct_target,include,reviewer_consensus,Two reviewers agreed; final decision uses their consensus.
W3RB-022,B08HCBW627,"Made for Amazon BLE Smart Switch, Gen3 Compatible with Echo v4, Echo Dot v3&v4, Echo Flex, Echo Input, Echo Show 5 & 8, and Echo Studio.",Electronics,neither,accessory,high,smart_switch,correct_target,medium,neither,accessory,"Accessory: battery-powered actuator mounted over an existing toggle or rocker switch; it is not the wall switch or dimmer itself, despite BLE/Alexa control.",neither,accessory,exclude,adjudication,"Accessory: battery-powered actuator mounted over an existing toggle or rocker switch; it is not the wall switch or dimmer itself, despite BLE/Alexa control."
W3RB-023,B01AKOY5FG,"GoControl Z-Wave Dimmable LED Light Bulb, LB60Z-1",Electronics,smart_bulb,correct_target,high,smart_bulb,correct_target,high,,,,smart_bulb,correct_target,include,reviewer_consensus,Two reviewers agreed; final decision uses their consensus.
