sample_role,parent_asin,proposed_device_type,source_domains,main_category,title,categories_evidence,limited_metadata_evidence,original_exclusion_reason,exclusion_gate_categories,supporting_metadata_fields,matched_device_terms,matched_smart_terms,proposed_decision,confidence,audit_label,audit_notes,draft_version,sampling_rank
recovery_candidate,B07FXLPCHM,smart_switch,Electronics,All Electronics,"Wireless HDMI Transmitter and Receiver - HDMI 4K @30Hz HD Extender Converter Adapter Kit for 4K Player Streaming Video Audio from Laptop/PC/Tablet/Phone to TV/Projector for Conference,Education, Game",Electronics Home Audio Home Audio Accessories Distribution Selector Switch Boxes,"categories: Electronics Home Audio Home Audio Accessories Distribution Selector Switch Boxes | features: ➤ HDMI TRANSFER ADAPTER - Built-in 2.4GHz/5GHz dual-band WiFi module, high-sensitivity dual antennas, our HDMI dongle wireless transmitter has a transmission distance up to 30M (98.4 ft) and in very small delay, which helps improve the efficiency when sending uncompressed FULL HD 1080p signal from your HDMI devices for meeting rooms and home theater systems. NOTE: This kit only supports 1920*1080P resolution when use… | details: Best Sellers Rank Audio & Video Selector Boxes 800 Brand KIMIOX Cable Type HDMI Color HDMI Switch Compatible Devices Projector, Laptop, Monitor, PC, Television, D",smart_plug:approved_identity_phrase_absent|smart_plug:identity_not_in_title_or_categories|smart_switch:approved_identity_phrase_absent|smart_switch:required_target_context_absent|smart_switch:smart_evidence_not_in_title_or_categories,approved_identity_phrase_absent|multi-type conflict|required_target_context_absent|smart_evidence_not_in_title_or_categories,categories|features|details,switch,wi fi|wifi,hold,low,insufficient_evidence,Metadata does not clearly establish wall-lighting control.,w3-v1.4.0-draft,05911861b23b709c8eb23c7e022dd5736097f30b6354f4de56c3e83649eb31e2
recovery_candidate,B07DWYWCQQ,smart_switch,Electronics,All Electronics,Switchmate KIT6SWMRSRS SimplySmart Rocker Switch Starter Bundle and Rocker Switch Kit,Electronics Home Audio Home Audio Accessories Distribution,"categories: Electronics Home Audio Home Audio Accessories Distribution | features: Includes 2 rocker switches, 1 power outlet and 6 batteries Easy, quick setup of a basic home automation system that can be accessed anywhere Rocker switches automatically turn on lights when someone enters the room All accessories have easy 1-second installation without tools Power outlet can be activated by timer | description: The Switchmate simplysmart rocker switch Starter bundle and rocker switch kit is a fantastic home automation accessory. The smart switches let the user Flip lights on and off from anywhere and control a wall plug. With easy Snap-On design and timers to create the illusion someone's hom",smart_plug:approved_identity_phrase_absent|smart_plug:identity_not_in_title_or_categories|smart_switch:approved_identity_phrase_absent|smart_switch:required_target_context_absent|smart_switch:smart_evidence_not_in_title_or_categories|smart_switch:wrong_product:rocker switch,approved_identity_phrase_absent|multi-type conflict|required_target_context_absent|smart_evidence_not_in_title_or_categories|wrong_product,title|description|details,switch,smart home,hold,low,insufficient_evidence,Metadata does not clearly establish wall-lighting control.,w3-v1.4.0-draft,0606075798d8dd678bbc0f06f01f540edb3e657285a7b2cdf4d2d5d742e4774c
recovery_candidate,B08SBXMLJZ,smart_switch,Home_and_Kitchen,Amazon Home,"2 Pcs 10"" Acrylic Wall Shelf Speaker Stand with Rubbery Surface, Solid Nursery Wall Bookshelf, Invisible Spice Rack, Display Floating Corner Shelf with Cable Clips for Speaker, Webcam, Switch",Home & Kitchen Home Décor Products Home Décor Accents Floating Shelves,"categories: Home & Kitchen Home Décor Products Home Décor Accents Floating Shelves | features: …alarm clock on it. Modern Stylish: Convenient and attractive to hold Small Wireless Speakers/Smartphones/Mirrorless Camera/Baby Monitor/Alarm Clock/for Alexa/Smart Devices in room, kitchen,office etc. USB cord access hole with slot to position and conveniently retain plugs and cords Solid Acrylic Wall Shelve With Rubbery Surface: Made of high quality Acrylic, these shelves are sturdy enough to hold your favorite item… | description: …ightstand? If stray wires are cluttering up your desktop, it's time to pick up a new shelf for your electronics. It's better to show your webcam/Switch etc. Multi-fun",smart_switch:approved_identity_phrase_absent|smart_switch:smart_evidence_not_in_title_or_categories,approved_identity_phrase_absent|smart_evidence_not_in_title_or_categories,title|features|description,switch,alexa,hold,low,insufficient_evidence,Metadata does not clearly establish wall-lighting control.,w3-v1.4.0-draft,06b88370bdf9c8d3f127c3b8945c19c496635527b32dabe821d51c0b6571b12f
recovery_candidate,B00MYXEJ12,smart_switch,Electronics,Office Products,ZMART ZS18-C Smart Switch with Timer Feature,Electronics Security & Surveillance,"categories: Electronics Security & Surveillance | details: Actuator Type Push Button Brand Zmart Connectivity Protocol Wi-Fi Date First Available September 17, 2014 International Protection Rating IP54 Item Dimensions LxWxH 9.75 x 7.25 x 1.5 inches Item Weight 1 pounds Item model number 857000004121 Manufacturer DH-Viatek Manufacturer Part Number ZS18C Mounting Type Wall Mount Product Dimensions 9.75 x 7.25 x 1.5 inches Unit Count 1.0 Count",smart_switch:required_target_context_absent|smart_switch:wrong_product:zmart,required_target_context_absent|wrong_product,title|details,switch,smart_near_switch|wi fi|wifi,hold,low,insufficient_evidence,Metadata does not clearly establish wall-lighting control.,w3-v1.4.0-draft,0760597176bb8f1ab9e20ade2b26fc5588a1c6b20a0ba75c23d3e67a87a5ab1f
recovery_candidate,B07QLGXM59,smart_switch,Electronics,Computers,4 Port Smart Charging hub with Switch on/Off Feature per Port,Electronics Computers & Accessories Computer Accessories & Peripherals USB Hubs,"categories: Electronics Computers & Accessories Computer Accessories & Peripherals USB Hubs | features: … computer to use it as a data/charging hub Automatically handles the charging request when B.C. compliant devices are detected. Per port on/off switch with light indicator Supports fasting charging for tablets and phones. | description: Unique design with switch on/off per port feature. Simultaneously charge four devices at the same time or it can act as a hub when connected to a computer. Product works well with iPAD, tablets and phones. Compliant with USB battery charging specification documented under revision 1.2(BC1.2).",smart_switch:approved_identity_phrase_absent|smart_switch:required_target_context_absent|smart_switch:wrong_product:port,approved_identity_phrase_absent|required_target_context_absent|wrong_product,title|features|description,switch,smart_near_switch,hold,low,insufficient_evidence,Metadata does not clearly establish wall-lighting control.,w3-v1.4.0-draft,07eecd84dcc236885b080cf3354560344c7d7788acccbac26d738010d0314ede
recovery_candidate,B0BN5RG1TD,smart_switch,Electronics,Computers,"Samsung Galaxy Tab A8 10.5” 32GB Android Tablet w/LCD Screen, Long Lasting Battery, Kids Content, Smart Switch, Expandable Memory, US Version, Dark Gray, w/128GB Micro SD Card",Electronics Computers & Accessories Computers & Tablets Tablets,"categories: Electronics Computers & Accessories Computers & Tablets Tablets | features: …brary of safe and fun games, books and videos that are kid friendly and parent approved Easiest. Transfer. Ever: No matter what operating system you're using, Smart Switch makes it a breeze to move your data and favorite files in three easy steps | description: …ry Expandable Memory Compatibility: microSD Compatibility Operating System: Android 11 Operating System Compatibility: Android 11 Works With: Bixby, Google Assistant, SmartThings Connectivity Wireless Connectivity: Wi-Fi Network Connectivity: None Headphone Jack: Yes Power Power Supply Input: USB Type C Charging Interface(s): USB Type C Battery F",smart_switch:required_target_context_absent,required_target_context_absent,title|features|description,switch,google assistant|smart_near_switch|smartthings|wi fi|wifi,hold,low,insufficient_evidence,Metadata does not clearly establish wall-lighting control.,w3-v1.4.0-draft,0888cc78ca0c6e02a23cb637ce6b54396a4d483e399721061ad6ac5337d2c767
recovery_candidate,B01929Y0YQ,smart_switch,Electronics,Computers,TRENDnet Home Smart Switch (with Wireless Extender) THA-101,Electronics Computers & Accessories Networking Products Switches,"categories: Electronics Computers & Accessories Networking Products Switches | features: Quick app based setup Turn a device on/off from any mobile internet connection Powerful N300 wireless repeater extends your existing wireless network Create a weekly on/off schedule Free Apple & Android App Compact form factor stays off the ground by plugging directly into an outlet Remote Power Control Quick app-based setup Turn a device on/off from any mobile internet connection Powerful N300 wireless repeater ext… | description: TREND net's Home Smart Switch with Wireless Extender, model THA-101,is a combination smart electrical outlet and powerful N300 wireless extender. Use the free Apple or Android",smart_plug:approved_identity_phrase_absent|smart_plug:identity_not_in_title_or_categories|smart_switch:required_target_context_absent,multi-type conflict|required_target_context_absent,title|description,switch,smart_near_switch|wi fi|wifi,hold,low,insufficient_evidence,Metadata does not clearly establish wall-lighting control.,w3-v1.4.0-draft,08b1c03e10858e549129bee2e8f181bfa7dcf3e74299db790525f5625c5ffe9d
recovery_candidate,B08YB2K9PD,smart_switch,Electronics,All Electronics,"JVC Gumy Gamer, in Ear Earbud Headphones with Mic, Remote, and Mute Switch for Gaming and Chatting, Powerful Sound, Comfortable and Secure Fit, Silicone Ear Pieces S/M/L - HAFX7GW (White)","Electronics Headphones, Earbuds & Accessories Headphones & Earbuds Earbud Headphones","categories: Electronics Headphones, Earbuds & Accessories Headphones & Earbuds Earbud Headphones | features: …ute and voice chat COLOR CORD - 3. 3 Foot Cord for easy connection with the fear of running out of a battery charge OPTOMIZED SOUND FOR GAMING - Great sound and voice control makes this a great addition to your gaming experience | description: JVC Gumy Gamer, In Ear Earbud Headphones with Mic, Remote, and Mute Switch for Gaming and Chatting, Powerful Sound, Comfortable and Secure Fit, Silicone Ear Pieces S/M/L - HAFX7GW (White) | details: Best Sellers Rank Earbud & In-Ear Headphones 4100 Brand JVC Color White Connectivity Technology Wired Country of Origin Switzerland Date First Avai",smart_switch:approved_identity_phrase_absent|smart_switch:required_target_context_absent|smart_switch:smart_evidence_not_in_title_or_categories,approved_identity_phrase_absent|required_target_context_absent|smart_evidence_not_in_title_or_categories,title|features|description,switch,voice control,hold,low,insufficient_evidence,Metadata does not clearly establish wall-lighting control.,w3-v1.4.0-draft,08e88b985e3f9425a0eeec3685db80c565c746edb88d4b17b71269543c18fad7
recovery_candidate,B00BLXH8NM,smart_switch,Electronics,Computers,"Devicewear Rotating Google Nexus 7 Case First Generation/2012 with Multi-angle Stand, Smart On/Off switch, Black vegan leather","Electronics Computers & Accessories Tablet Accessories Bags, Cases & Sleeves Cases","categories: Electronics Computers & Accessories Tablet Accessories Bags, Cases & Sleeves Cases | features: Leather style case for the Nexus 7 Tablet that doubles as a rotating stand with Smart On/Off switch. Protective outer casing in sturdy, PU with soft, gray microfiber interior. Case held closed magnetically (no clasp or strap). The Nexus 7 Tablet slips into the framed pocket easily and can be rotated horizontally/vertically in one motion. Case provides two convenient viewing/typing angles in landscape mode and two ang… | description: … is a versatile folio case for the Nexus 7 Tablet offering a variety of viewing angles, vertical-horizontal screen rotation and smart On/Off switch when cl",smart_switch:approved_identity_phrase_absent|smart_switch:required_target_context_absent,approved_identity_phrase_absent|required_target_context_absent,title|features|description,switch,smart_near_switch,hold,low,insufficient_evidence,Metadata does not clearly establish wall-lighting control.,w3-v1.4.0-draft,0905217e6d5dede3d8680d61945fd75c30cb5beab9e88769a3fcbbe265649ee4
recovery_candidate,B079Z2SHCX,smart_switch,Electronics,Computers,"TRENDnet 10-Port 2.5GBASE-T Web Smart Switch, 8 x 2.5GBASE-T RJ-45 Ports, 2 x 10G SFP+ Slots, Lifetime Protection, TEG-30102WS, Black",Electronics Computers & Accessories Networking Products Switches,"categories: Electronics Computers & Accessories Networking Products Switches | features: …GMP Snooping, IEEE 802.1p QoS with queue scheduling support Per port MAC restriction and dynamic ARP inspection, Bandwidth control per port 80Gbps switching capacity, 1U rack mountable (brackets included) | description: TRENDnet’s 10-Port 2.5GBASE-T Web Smart Switch with eight 2.5GBASE-T ports and two 10G SFP+ slots, model TEG-30102WS, delivers advanced management features with an 80Gbps switching capacity. The TEG-30102WS is equipped with 2.5GBASE-T RJ-45 ports that provide higher gigabit speeds capable of up to 2.5Gbps over existing Cat5e or better cabling. This rack mountable IPv6 ready switch comes ",smart_switch:required_target_context_absent|smart_switch:wrong_product:port,required_target_context_absent|wrong_product,title|description,switch,smart_near_switch,hold,low,insufficient_evidence,Metadata does not clearly establish wall-lighting control.,w3-v1.4.0-draft,090c11309e788297154cedc14370d3c195607a3ecc9f73334cc4b657355b5501
recovery_candidate,B01MF85F09,smart_switch,Electronics,,Dual DC Power Smart Selection Switch - 2 Inputs to 1 Output,Electronics Computers & Accessories Computer Accessories & Peripherals Uninterruptible Power Supply (UPS),"categories: Electronics Computers & Accessories Computer Accessories & Peripherals Uninterruptible Power Supply (UPS) | features: This Dual DC power smart selection switch has two input ports and one output port. Its output will select from one of two inputs: If Input A port has power, the output will always select Input A. If Input A port has no power, it will automatically switch to Input B port. When Input A port power comes back, it will automatically switch back to Input A ( if Input A is 12V or higher). Features: Wide input range: 9V ~ 30… | description: This Dual DC power smart selection switch has two input ports and one output port. Its output will select from one of two inputs: If ",smart_switch:approved_identity_phrase_absent|smart_switch:required_target_context_absent|smart_switch:wrong_product:power supply,approved_identity_phrase_absent|required_target_context_absent|wrong_product,title|features|description,switch,smart_near_switch,hold,low,insufficient_evidence,Metadata does not clearly establish wall-lighting control.,w3-v1.4.0-draft,0922a1c749dfef285fa63568fac90259262fa9aa6d7dd0f2f3658dcb0721311d
recovery_candidate,B01M0H9IJT,smart_switch,Electronics,Computers,"Netis ST3105GS 5 Port Unmanaged Gigabit Desktop Switch, Energy Saver and Smart Plug & Play",Electronics Computers & Accessories Networking Products Switches,"categories: Electronics Computers & Accessories Networking Products Switches | features: …00Mbps RJ45 ports, Auto-Negotiation & Auto MDI/MDIX IEEE 802.3x flow control for Full Duplex mode and backpressure for Half Duplex mode 10Gbps switching fabric capacity/backplane bandwidth Support 9216-byte jumbo packet length forwarding at wired speed Supports 2K MAC address table, MAC address auto-learning & auto-aging | details: Best Sellers Rank Computer Networking Switches 3500 Brand Netis Color Gigabit 5 Port Compatible Devices Desktop Date First Available September 16, 2016 Included Components 1* ST3105GS Item Dimensions LxWxH 5 x 4 x 3 inches Item Weight 8.5 ounces Item model number ST3105GS Man",smart_plug:wrong_product:plug and play|smart_switch:approved_identity_phrase_absent|smart_switch:required_target_context_absent|smart_switch:wrong_product:port,approved_identity_phrase_absent|multi-type conflict|required_target_context_absent|wrong_product,title|details,switch,smart_near_switch,hold,low,insufficient_evidence,Metadata does not clearly establish wall-lighting control.,w3-v1.4.0-draft,0b3767b550f051e55d4f6dd73fe1bbd0883b0b2766dec7001fef9e735791063e
recovery_candidate,B087FGKBRZ,smart_switch,Home_and_Kitchen,Amazon Home,"YestBuy Acrylic Floating Wall Shelves, 4 Pack Clear Display Shelf, Floating Corner Shelves, Small Display Shelf with Cable Clips for Smart Speaker, Webcam, Switch, Electronics",Home & Kitchen Home Décor Products Home Décor Accents Floating Shelves,"categories: Home & Kitchen Home Décor Products Home Décor Accents Floating Shelves | features: …crylic wall shelf can freestyle decor design and extend storage space. Perfect decor starts from this wall shelves to display Smart Speaker/webcam/Switch/Electronics Pop Figures, for living room, bedroom, bathroom. 【EASY TO INSTALL】The floating Shelf more convenient installation, metope is more beautiful. Equipped with 2 cable clamps and 4 3M adhesive strips. 【MODERN STYLISH】Keep item away from clutter and within tou… | details: Assembly Required Yes Best Sellers Rank Floating Shelves 2929 Home & Kitchen 1029389 Brand YestBuy Date First Available August 3, 2020 Installation Type Wall Mount Item We",smart_switch:approved_identity_phrase_absent,approved_identity_phrase_absent,title|features,switch,smart_near_switch,hold,low,insufficient_evidence,Metadata does not clearly establish wall-lighting control.,w3-v1.4.0-draft,0c41e0da35bdb3fb40e49c135df9c4c31d8c55e0c7bc46332d5a0bfca4f43de5
recovery_candidate,B002D0TL5A,smart_switch,Electronics,Home Audio & Theater,"Netopia® 2247 ADSL2+ Modem, 4-PORT Managed Switch",Electronics Computers & Accessories Networking Products Modems,"categories: Electronics Computers & Accessories Networking Products Modems | features: The affordable, reliable residential gateway for optimized data, video and voice Wi-Fi Protected Setup enables typical users to automatically configure new wireless networks, add new devices and enable security Multiple LAN networking options supports single-user households and home networking Configured to support VoIP and streaming video services Dimensions: 1.2"" H x 5.2"" W x 6.8"" L; weight: 1.2 lbs. | description: The affordable reliable residential gateway for optimized data video and voiceWi-Fi Protected Setup enables typical users to automatically configure new wireless networks add new devices and e",smart_switch:approved_identity_phrase_absent|smart_switch:required_target_context_absent|smart_switch:smart_evidence_not_in_title_or_categories|smart_switch:wrong_product:port,approved_identity_phrase_absent|required_target_context_absent|smart_evidence_not_in_title_or_categories|wrong_product,title|features,switch,wi fi|wifi,hold,low,insufficient_evidence,Metadata does not clearly establish wall-lighting control.,w3-v1.4.0-draft,0d117f11d6d82e7cbaa630eaa7916b814dccf92486fa832b23c06afe9420e111
recovery_candidate,B08Q2Y1DRG,smart_switch,Electronics,Computers,Cisco Business CBS250-24T-4G Smart Switch | 24 Port GE | 4x1G SFP | Limited Lifetime Protection (CBS250-24T-4G-NA),Electronics Computers & Accessories Networking Products Switches,"categories: Electronics Computers & Accessories Networking Products Switches | features: SWITCH PORTS: 24-Port 10/100/1000 + 4 x 1GE SFP SIMPLE: Intuitive Cisco Business Dashboard or on-box U/I simplifies network operations and automates lifecycle management FLEXIBLE: Extensive portfolio provides ultimate flexibility from 8 to 48 ports and PoE+ combinations SECURITY: Integrated with IEEE 802.1X port security to control access to your network, Denial-of- Service (DoS) attack prevention increases network u… | description: The Cisco Business CBS250-24T-4G switch is the next generation of affordable, smart switch that combines powerful network performance, security, and reliability with a compre",smart_switch:required_target_context_absent|smart_switch:wrong_product:port,required_target_context_absent|wrong_product,title|features|description|details,switch,smart_near_switch,hold,low,insufficient_evidence,Metadata does not clearly establish wall-lighting control.,w3-v1.4.0-draft,0e0af2aacb414fd18c4f5420863fa35c4a20848fbe0e2124b59b4e41354a9970
